,protocol,domain_name,address,is_phished,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,shortening_service,domain_registration_length,dns_record,https_token,statistical_report
0,https,locking-app-adverds.000webhostapp.com,payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0,0,1,1,0,1
1,http,www.myhealthcarepharmacy.ca,wp-includes/js/jquery/ini.php,yes,2,0,0,0,0,0,1,1,0,1
2,http,code.google.com,p/pylevenshtein/,no,0,0,0,0,0,0,1,1,0,1
3,http,linkedin.com,,no,0,0,0,0,0,0,1,1,0,1
4,http,imageshack.com,f/219/cadir2yr3.jpg,no,0,0,0,0,0,0,1,1,0,1
5,https,doc-08-bc-apps-viewer.googleusercontent.com,viewer/secure/pdf/oeseuikt874lsab1nd951o2hb6vbgqns/gc3s35v5saovjtfmagnbkgq7hc7s50l6/1499021625000/gmail/14638345563091176801/acfrogckzroqd-f0fr1n1piikbhbdczsaeswhrd92dmn5wzd5thhuuygxrynocqta0zj7dtnh-rqoo1oshslabr8-lg9mfwbj4oszzqzwo0ek_ajqeghtrw7vpojjga=?print=true,no,1,0,0,1,0,1,1,1,0,1
6,http,www.7-zip.org,download.html,no,0,0,0,1,0,0,1,1,0,1
7,http,ebay.com,,no,0,0,0,0,0,0,1,1,0,1
8,https,login.yahoo.com,config/login?.done=https%3a%2f%2fapi.login.yahoo.com%2foauth2%2frequest_auth%3fclient_id%3ddj0yjmk9ntjmmkvmofo3ruvmjmq9wvdrovdxeghvmwx3tjjfbwnhbzlnqs0tjnm9y29uc3vtzxjzzwnyzxqmed01oa--%26redirect_uri%3dhttps%253a%252f%252fwww.flickr.com%252fsignin%252fyahoo%252foauth%252f%253fredir%253dhttps%25253a%25252f%25252fwww.flickr.com%25252f%26response_type%3dcode%26scope%3dopenid%252csdpp-w%26nonce%3ded6f1ac7588e593f8aec7d26fddbf9cb%26.scrumb%3d0&.src=oauth2&.pd=c%3dmzmafpe.2e7wuwzchd2zpyq-%26ockey%4ddu0yjmk9ntjmmkvmofo3ruvmjmq9wvdrovdxeghvmwx3tjjfbwnhbzlnqs0tjnm9y29uc3vtzxjzzwnyzxqmed01oa--&.crumb=pc09eqrivqz&redirect_uri=https%3a%2f%2fwww.flickr.com%2fsignin%2fyahoo%2foauth%2f%3fredir%3dhttps%253a%252f%252fwww.flickr.com%252f,no,1,0,0,0,0,0,1,1,1,1
9,http,mobile-free.metulwx.com,mobile/impaye/,yes,0,0,0,1,0,1,1,1,0,1
